id_action,id_npc,name,type,damage,proficiency,effect
1,1,Длинный меч,action,1к8+3 рубящего (1к10+3 двумя руками),5,NULL
2,1,Командирский приказ,bonus_action,NULL,NULL,Один союзник в пределах 30 футов может немедленно совершить одну атаку или переместиться без провоцирования атак
3,2,Призыв теневой копии,bonus_action,NULL,NULL,Призывает теневую копию героя (HP 30; КД 10; атаки как у оригинала упрощённо); подчиняется Дану
4,2,Поглощение света,action,NULL,NULL,Цель: Эйд. Спасбросок Телосложения Сл 16: при провале Эйд получает 1 уровень истощения и теряет свет на 1 день; при успехе 2к6 некротического урона
5,2,Тьма зовет,action,NULL,NULL,Существа в радиусе 10 футов совершают спасбросок Мудрости; при провале ослеплены до начала следующего хода Дана. 1 раз
6,2,Договор Клинка,bonus_action,1к4,NULL,Создаёт клинок; тип урона: обычный или некротический
7,3,Свет небес,action,NULL,NULL,Создаёт золотое сияние (как заклинание «Свет»); длится 10 минут. Без ограничений; но боится светить слишком ярко
8,3,Исцеляющее прикосновение,action,2к8+4 хитов,NULL,1 раз в день. После использования слабеет (штраф -1 ко всем броскам на 1 час); чувствует боль цели
9,3,Сжигающий свет (неконтролируемый),action,4к6 лучистого урона (конус 15 футов),NULL,Спасбросок Ловкости Сл 14. После использования теряет сознание на 1к4 часа. Не контролирует способность; боится использовать
10,4,Складной нож,action,1к4+2 колющего,NULL,NULL
11,4,Камни / предметы,action,1к4 дробящего (импровизированное),NULL,NULL
12,6,Топор,action,1к4+2 рубящего,4,NULL
13,6,Импровизированное оружие,action,1к4 дробящего,NULL,NULL
14,7,Обломок косы,action,1к6+2 рубящего,4,При попадании цель должна совершить спасбросок Телосложения Сл 12 или получить состояние отравлена на 1 минуту (скверна)
15,7,Синее свечение,bonus_action,NULL,NULL,Излучает фосфоресцирующий свет в радиусе 10 футов. Существа; начинающие ход в этом свете; получают помеху на спасброски от страха